id,name,lat,lon,surveyed_ahd_m,elvis_ahd_m,difference_m,abs_difference_m,dem_resolution,relief_within_ring_m,reading,source,dataset
beenleigh_al,Beenleigh AL,-27.7258,153.2192,9.8,5.8,4.0,4.0,1m,,close,QLD Government,Logan_2017_LGA_SW_521500_6933000_0.5K_DEM_1m.tif
louisa_ck_al,Louisa Ck AL,-19.2722,146.7544,8.5,4.51,3.99,3.99,50cm,,close,Griffith Uni,Townsville201804-DEM-GRID-50cm_4747869_55_0001_0001.tif
tweed_heads_duranba,Tweed Heads (Duranbah),-28.274,153.5267,85.6,89.59,-3.99,3.99,1m,,close,NSW Government,TweedHeads201309-LID1-AHD_5506872_56_0002_0002_1m.tif
dalcouth_al,Dalcouth AL,-28.6794,151.9831,860.6,856.62,3.98,3.98,1m,,close,QLD Government,Stanthorpe_2011_Twn_SW_400000_6827000_1K_DEM_1m.tif
kynnumboon,Kynnumboon,-28.3167,153.3833,5.0,1.02,3.98,3.98,1m,,close,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5376867_56_0001_0001.tif
knapps_peak_al,Knapps Peak AL,-28.1461,152.7358,283.3,287.26,-3.96,3.96,1m,,close,QLD Government,ScenicRim_2011_LGA_SW_474000_6886000_1K_DEM_1m.tif
yourka_al,Yourka AL,-18.0081,145.4706,778.5,774.54,3.96,3.96,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
purga_ck_washpoo,Purga Ck (Washpoo,-27.8182,152.7549,65.7,61.76,3.94,3.94,1m,,close,QLD Government,Ipswich_2019_LGA_SW_475000_6922000_1k_DEM_1m.tif
accommodation_ck_al,Accommodation Creek AL,-28.8081,151.8364,693.5,689.58,3.92,3.92,5m,,close,NSW Government,Stanthorpe201108-PHO3-AHD_3866812_56_0002_0002_5m.tif
ceratodus_al,Ceratodus AL,-25.2831,151.145,186.8,182.9,3.9,3.9,1m,,close,QLD Government,Ceratodus_2012_Twn_SW_313000_7202000_1K_DEM_1m.tif
donnington_airpark_a,Donnington Airpark AL,-19.6017,146.8403,68.0,64.1,3.9,3.9,50cm,,close,Griffith Uni,Ayr201804-DEM-GRID-50cm_4837832_55_0001_0001.tif
upper_barrattas_aler,Upper Barrattas AL,-19.885,147.0333,61.6,57.7,3.9,3.9,1m,,close,QLD Government,Burdekin_2011_Prj_SW_503000_7801000_1K_DEM_1m.tif
