id,name,lat,lon,elvis_ahd_m,dem_resolution,dem_resolution_m,source,dataset
torbanlea_alert,Torbanlea AL,-25.3406,152.6058,30.09,1m,1.0,QLD Government,Fraser_coast_2022_LGA_SW_460000_7197000_1k_DEM_1m.tif
toronto_stony_ck,Toronto (Stony Ck),-33.008,151.58,1.34,1m,1.0,NSW Government,LakeMacquarie201409-LID1-AHD_3666346_56_0002_0002_1m.tif
torrens_creek_township_torrens_creek,Torrens Creek Township (Torrens Creek),-20.7676,145.0304,455.8,1m,1.0,QLD Government,TorrensCreek_2012_Twn_SW_294000_7702000_1K_DEM_1m.tif
touga,Touga,-34.964,150.097,644.3,2m,2.0,NSW Government,MossVale201805-LID2-AHD_2346126_56_0002_0002_2m.tif
tower_hill_fire_tower,Tower Hill (Fire Tower),-41.548,147.853,1069.83,1m,1.0,TAS Government,NorthEast2012-DEM-1m_5715400_55.tif
townsville_harbour_al,Townsville Harbour AL,-19.2517,146.8303,-0.29,1m,1.0,QLD Government,Townsville_2009_Ctl_SW_482000_7871000_1K_DEM_1m.tif
traralgon_epa,Traralgon EPA,-38.196,146.529,62.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
traralgon_south,Traralgon South,-38.253,146.543,59.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
traralgon_south_township,Traralgon South Township,-38.295,146.542,96.95,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
traralgon_town_princes_hwy,Traralgon Town (Princes Hwy),-38.193,146.54,47.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
trentham_reservoir,Trentham Reservoir,-37.407,144.356,731.2,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
triabunna_salmons_flats,Triabunna (Salmons Flats),-42.509,147.899,13.13,1m,1.0,TAS Government,TriabunnaOrford2014-DEM-1m_5735293_55.tif
trig_point_hill,Trig Point Hill,-34.561,139.033,500.91,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
trinidad_al,Trinidad Al,-25.6004,143.893,260.32,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
trunkey_old_post_office,Trunkey (Old Post Office),-33.82,149.325,851.79,5m,5.0,NSW Government,Blayney201407-PHO3-AHD_7146254_55_0002_0002_5m.tif
tugun_al,Tugun AL,-28.1525,153.4998,5.03,1m,1.0,QLD Government,GoldCoast_2014_LGA_SW_549000_6885000_1K_DEM_1m.tif
tully_transfer_station_al,Tully Transfer Station AL,-17.9397,145.892,25.57,50cm,0.5,Griffith Uni,Innisfail201308-DEM-GRID-50cm_3828016_55_0001_0001.tif
tuncurry,Tuncurry,-32.184,152.486,0.24,1m,1.0,NSW Government,Bulahdelah201208-LID1-AHD_4506438_56_0002_0002_1m.tif
tuncurry_point_road,Tuncurry (Point Road),-32.185,152.491,0.5,1m,1.0,NSW Government,Forster201208-LID1-AHD_4526438_56_0002_0002_1m.tif
turretfield_dam,Turretfield Dam,-34.562,138.77,93.27,50cm,0.5,SA Government,MiddleBeach2021-DEM-GRID-0_5_2956173_54_0001_0001.tif
tutye_bunurouk,Tutye (Bunurouk),-35.2858,141.4935,67.97,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
tyalgum_creek,Tyalgum Creek,-28.343012,153.156431,124.68,2m,2.0,NSW Government,Murwillumbah201709-LID2-AHD_5146864_56_0002_0002_2m.tif
tyrconnel_tm,Tyrconnel Tm,-26.299,147.5501,473.5,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
tyungun_al,Tyungun AL,-28.087,153.159,215.68,1m,1.0,QLD Government,ScenicRim_2011_LGA_SW_515000_6893000_1K_DEM_1m.tif
uabba_rd_al,Uabba Rd AL,-25.976,147.101,493.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ulan_water,Ulan Water,-32.281,149.741,421.19,2m,2.0,NSW Government,Gulgong201510-LID2-AHD_7586424_55_0002_0002_2m.tif
ularunda_al,Ularunda (Repeater) AL,-26.7972,147.1194,400.75,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
