id,name,lat,lon,elvis_ahd_m,dem_resolution,dem_resolution_m,source,dataset
east_creek_long_st_tm,East Ck (Long St) TM,-27.5774,151.9692,612.72,1m,1.0,QLD Government,Toowoomba_Cooby_2020_Prj_SW_398000_6949000_1k_DEM_1m.tif
east_creek_south_st_tm,East Ck (South St) TM,-27.5826,151.971,619.02,1m,1.0,QLD Government,Toowoomba_2015_Prj_SW_398000_6948000_1K_DEM_1m.tif
east_end_wilmott_rd_al,East End (Wilmott Rd) AL,-23.870432,150.971565,60.18,50cm,0.5,Griffith Uni,Gladstone201801-DEM-GRID-50cm_2937358_56_0001_0001.tif
east_funnel_creek_tm,East Funnel Creek TM,-21.5458,149.1099,206.29,50cm,0.5,Griffith Uni,Mackay201308-DEM-GRID-50cm_7187615_55_0001_0001.tif
east_leichardt_dam_t,East Leichardt Dam T,-20.7797,139.7849,368.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
eastern_creek_gt_western_highway,Eastern Creek (Gt Western highway),-33.789,150.866,49.64,1m,1.0,NSW Government,Penrith201102-LID1-AHD_3026258_56_0002_0002_1m.tif
eatons_hill_tm,Eatons Hill TM,-27.348,152.953,15.25,1m,1.0,QLD Government,MoretonBay_2009_LGA_SW_495000_6975000_1K_DEM_1m.tif
echo_hills_al,Echo Hills AL,-24.178,147.444,366.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
eden_al,Eden AL,-24.302,151.397,168.7,50cm,0.5,Griffith Uni,Gladstone201801-DEM-GRID-50cm_3377311_56_0001_0001.tif
edi_upper_schmidts_farm,Edi Upper (Schmidts Farm),-36.718,146.349,356.1,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
edith_falls_ridge,Edith Falls Ridge,-14.151,132.18,146.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
eerwah_vale_al,Eerwah Vale AL,-26.48,152.879,129.97,1m,1.0,QLD Government,SunshineCoast_2008_LGA_SW_487000_7071000_1K_DEM_1m.tif
eidsvold_bridge,Eidsvold Bridge,-25.3772,151.0819,158.61,1m,1.0,QLD Government,Eidsvold_2011_Twn_SW_307000_7191000_1K_DEM_1m.tif
eight_mile_plains_al,Eight Mile Plains AL,-27.584,153.088,45.37,1m,1.0,QLD Government,Brisbane_2009_LGA_SW_508000_6948000_1K_DEM_1m.tif
ekibin_park_south_al,Ekibin Park South AL,-27.5133,153.0391,6.72,1m,1.0,QLD Government,Brisbane_2019_Prj_SW_503000_6956000_1k_DEM_1m.tif
elands_black_sands_creek,Elands (Black Sands Creek),-31.567,152.24,654.89,2m,2.0,NSW Government,Wingham201804-LID2-AHD_4266506_56_0002_0002_2m.tif
elderslie,Elderslie,-32.5932,151.3335,53.32,1m,1.0,NSW Government,Cessnock201202-LID1-AHD_3426392_56_0002_0002_1m.tif
eleebana_reservoir,Eleebana Reservoir,-32.9956,151.6515,87.45,1m,1.0,NSW Government,Newcastle201409-LID1-AHD_3746348_56_0002_0002_1m.tif
elimbah_al,Elimbah AL,-26.97,152.9167,53.61,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_491000_7016000_1K_DEM_1m.tif
elimbah_rose_creek_rd_al,Elimbah (Rose Creek Rd) AL,-27.013,152.946,19.99,1m,1.0,QLD Government,Moreton_Bay_2018_LGA_SW_494000_7012000_1k_DEM_1m.tif
elsmore_danthonia,Elsmore (Danthonia),-29.783,151.362,774.41,5m,5.0,NSW Government,Inverell201110-PHO3-AHD_3406704_56_0002_0002_5m.tif
elsmore_village,Elsmore Village,-29.802,151.273,665.06,5m,5.0,NSW Government,Inverell201110-PHO3-AHD_3326700_56_0002_0002_5m.tif
emerald_al,Emerald AL,-23.5297,148.1664,176.54,1m,1.0,QLD Government,Emerald_2011_Twn_SW_619000_7397000_1K_DEM_1m.tif
emerald_radar_al,Emerald Radar AL,-23.549,148.239,185.7,1m,1.0,QLD Government,Emerald_2011_Twn_SW_626000_7395000_1K_DEM_1m.tif
emmaville_post_office,Emmaville Post Office,-29.445,151.599,888.12,5m,5.0,NSW Government,Clive201711-PHO3-AHD_3646740_56_0002_0002_5m.tif
emmigrant_creek_ballina_local,Emmigrant creek (ballina local),-28.828737,153.526772,1.61,1m,1.0,NSW Government,Ballina201006-LID1-AHD_5506810_56_0002_0002_1m.tif
enderlee,Enderlee,-36.922,145.677,493.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
englands_road_coffs_harbour,Englands Road (Coffs Harbour),-30.304,153.054,36.2,1m,1.0,NSW Government,CoffsHarbour_202306_LID1_AHD_1m_1km_56_5056647.tif
enoggera_dam_al,Enoggera Dam AL,-27.447,152.926,73.91,1m,1.0,QLD Government,Brisbane_2014_LGA_SW_492000_6964000_1K_DEM_1m.tif
erina_heights,Erina Heights,-33.424,151.395,3.92,1m,1.0,NSW Government,Gosford202008-LID1-AHD_3506300_56_0002_0002_1m.tif
eromanga_al,Eromanga Al,-26.6682,143.2668,156.08,1m,1.0,QLD Government,Eromanga_2011_Twn_SW_725000_7048000_1K_DEM_1m.tif
erskine_park_reservoir,Erskine Park Reservoir,-33.8078,150.7995,82.8,1m,1.0,NSW Government,Penrith201705-LID1-AHD_2966256_56_0002_0002_1m.tif
eskdale_al,Eskdale AL,-27.168,152.198,342.47,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
esmeralda_rr_tm,Esmeralda Rr TM,-18.8804,142.5623,162.78,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
essendean_bridge_al,Essendean Bridge AL,-24.601,151.845,1.2,1m,1.0,QLD Government,Gladstone_2009_Rgn_SW_382000_7278000_2K_DEM_1m.tif
eudlo_al,Eudlo AL,-26.727,152.956,24.46,1m,1.0,QLD Government,SunshineCoast_2008_LGA_SW_495000_7043000_1K_DEM_1m.tif
eumundi_al,Eumundi AL,-26.4945,152.9616,16.32,1m,1.0,QLD Government,Sunshine_Coast_2022_LGA_SW_496000_7069000_1k_DEM_1m.tif
eungai_creek_unkya_reserve,Eungai Creek (Unkya Reserve),-30.836,152.898,27.09,1m,1.0,NSW Government,Macksville201607-LID1-AHD_4906588_56_0002_0002_1m.tif
evandale_al,Evandale AL,-28.005,153.4161,4.25,1m,1.0,QLD Government,GoldCoast_2009_LGA_SW_540000_6902000_1K_DEM_1m.tif
eversfield_tm,Eversfield Tm,-26.6569,147.4481,405.7,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
everton_hills_al,Everton Hills AL,-27.3822,152.9783,46.1,1m,1.0,QLD Government,Brisbane_2009_LGA_SW_497000_6971000_1K_DEM_1m.tif
everton_park_trouts_rd_al,Everton Park (Trouts Rd) AL,-27.392,152.997,41.42,1m,1.0,QLD Government,Brisbane_2019_Prj_SW_499000_6970000_1k_DEM_1m.tif
ewart_ck_al,Ewart Ck AL,-23.7003,150.5483,80.53,50cm,0.5,Griffith Uni,Gladstone201801-DEM-GRID-50cm_2507376_56_0001_0001.tif
ewen_maddock_dam_al,Ewen Maddock Dam AL,-26.7797,153.0101,26.75,1m,1.0,QLD Government,SunshineCoast_2008_LGA_SW_501000_7037000_1K_DEM_1m.tif
fairbairn_dam_al,Fairbairn Dam AL,-23.6525,148.0744,202.57,50cm,0.5,Griffith Uni,Emerald201305-DEM-GRID-50cm_6097383_55_0001_0001.tif
fairfield_city_farm,Fairfield (City Farm),-33.867,150.861,69.3,1m,1.0,NSW Government,Penrith201906-LID1-AHD_3026250_56_0002_0002_1m.tif
fairview_al,Fairview AL,-24.295246,146.922802,541.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
fanning_river_burde,Fanning River (Burde,-19.981,146.4485,232.83,50cm,0.5,Griffith Uni,ChartersTowers201804-DEM-GRID-50cm_4427790_55_0001_0001.tif
fanny_creek,Fanny Creek,-14.108,132.9,232.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
farrars_ck_tm,Farrars Ck Tm,-25.1642,141.2387,97.75,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
faulconbridge_great_western_hwy,Faulconbridge (Great Western Hwy),-33.696,150.536,431.4,1m,1.0,NSW Government,Penrith201804-LID1-AHD_2706268_56_0002_0002_1m.tif
feilton_plenty_river,Feilton (Plenty River),-42.791,146.945,88.33,1m,1.0,TAS Government,Feilton2018-DEM-1m_4955262_GDA2020_55.tif
ferguson_valley_alert,Ferguson Valley Alert,-33.444,115.854,148.31,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
ferris_knob_al,Ferris Knob AL,-26.854167,152.816667,148.91,1m,1.0,QLD Government,MoretonBay_2014_LGA_SW_481000_7029000_1K_DEM_1m.tif
fifteen_mile_ck_at_glenrowan,Fifteen Mile Ck at Glenrowan,-36.4708,146.2461,166.76,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
fifteen_mile_ck_greta_south,Fifteen Mile Ck @ Greta South,-36.621,146.243,196.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
figtree_obriens_rd,Figtree (OBriens Rd),-34.424,150.838,146.94,1m,1.0,NSW Government,Wollongong202106-LID1-AHD_3006188_56_0002_0002_1m.tif
fingal_south_esk_river,Fingal (South Esk River),-41.638,147.964,225.39,1m,1.0,TAS Government,NorthEast2011-DEM-1m_5805389_55.tif
fish_hole_ck_tm,Fish Hole Ck Tm,-17.6318,141.993,68.85,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
fish_river,Fish River,-14.1894,130.8815,71.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
fishermans_paradise_conjola_creek,Fishermans Paradise (Conjola Creek),-35.232032,150.450328,1.42,1m,1.0,NSW Government,Ulladulla201105-LID1-AHD_2666098_56_0002_0002_1m.tif
fishermans_repeater,Fishermans Repeater,-35.247,150.437,51.06,1m,1.0,NSW Government,Ulladulla201105-LID1-AHD_2666096_56_0002_0002_1m.tif
fitzroy_falls_red_hills,Fitzroy Falls (Red Hills),-34.663,150.433,671.39,2m,2.0,NSW Government,MossVale201805-LID2-AHD_2646160_56_0002_0002_2m.tif
five_mile_br_al,Five Mile Br AL,-27.629,152.668,26.22,1m,1.0,QLD Government,Ipswich_2014_LGA_SW_467000_6943000_1K_DEM_1m.tif
flaggy_creek_alert_decoupled_rg,Flaggy Creek Alert (Decoupled RG),-16.796434,145.554651,370.62,50cm,0.5,Griffith Uni,Cairns201308-DEM-GRID-50cm_3458142_55_0001_0001.tif
flagstone_bridge_al,Flagstone Bridge AL,-25.66,151.177,129.07,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
fletchervale_rd_wan,Fletchervale Rd (Wan,-19.8319,145.1988,592.24,50cm,0.5,Griffith Uni,ChartersTowers201310-DEM-GRID-50cm_3117806_55_0001_0001.tif
flinders_cloncurry_j,Flinders Cloncurry J,-18.5594,140.7194,23.09,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
flinders_view_ash_st_al,Flinders View (Ash St) AL,-27.655,152.7587,23.56,1m,1.0,QLD Government,Ipswich_2009_LGA_SW_476000_6940000_1K_DEM_1m.tif
flinton,Flinton,-27.89459,149.5595,222.69,1m,1.0,QLD Government,Flinton_2011_Twn_SW_751000_6911000_1K_DEM_1m.tif
flora_valley,Flora Valley,-19.7581,146.8389,61.26,1m,1.0,QLD Government,Townsville_2018_Prj_SW_483000_7815000_1.0K_DEM_1m.tif
florence_ck_tm,Florence Ck TM,-21.2014,140.5077,317.91,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
florence_vale_al,Florence Vale AL,-23.241,147.574,411.86,50cm,0.5,Griffith Uni,Emerald201305-DEM-GRID-50cm_5587429_55_0001_0001.tif
foelsche_headland,Foelsche Headland,-14.083,131.81,208.21,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
fog_ck_tm,Fog Ck Tm,-19.2463,143.0669,304.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
foleyvale_al,Foleyvale AL,-23.5272,149.7189,62.13,1m,1.0,QLD Government,Duaringa_2012_Twn_SW_777000_7395000_1K_DEM_1m.tif
foleyvale_alert_decoupled_rg,Foleyvale Alert (Decoupled RG),-23.51312,149.70927,72.16,1m,1.0,QLD Government,Duaringa_2012_Twn_SW_776000_7397000_1K_DEM_1m.tif
fools_ridge_mt_picton,Fools Ridge (Mt Picton),-43.147,146.578,918.92,2m,2.0,TAS Government,Tasmania_Statewide_2m_DEM_14-08-2021.tif
forbes_river_birdwood,Forbes River (Birdwood),-31.294,152.312,177.53,2m,2.0,NSW Government,Cowarral201804-LID2-AHD_4346536_56_0002_0002_2m.tif
forest_hill_al,Forest Hill AL,-27.584,152.35,92.91,1m,1.0,QLD Government,LockyerValleyNorth_2010_Rgn_SW_435000_6948000_1K_DEM_1m.tif
forest_lake_rachele_cl_al,Forest Lake (Rachele Cl) AL,-27.6315,152.9536,66.0,1m,1.0,QLD Government,Logan_2009_LGA_SW_495000_6943000_1K_DEM_1m.tif
forest_vale_tm,Forest Vale TM,-25.925019,147.870115,397.3,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
forestdale_johnson_rd_al,Forestdale (Johnson Rd) AL,-27.6583,153.0,27.82,1m,1.0,QLD Government,Logan_2013_LGA_SW_500000_6940000_1K_DEM_1m.tif
forreston,Forreston,-34.795,138.9,384.12,50cm,0.5,SA Government,Gumeracha2021-DEM-GRID-0_5_3076147_54_0001_0001.tif
forreston_alert,Forreston Alert,-34.793,138.904,390.55,50cm,0.5,SA Government,Gumeracha2021-DEM-GRID-0_5_3086147_54_0001_0001.tif
forster_tuncurry_marine_rescue,Forster - Tuncurry Marine Rescue,-32.176,152.509,3.62,1m,1.0,NSW Government,Forster201208-LID1-AHD_4526438_56_0002_0002_1m.tif
fosters_bellingen_r,Fosters (Bellingen R,-30.4417,152.8852,11.68,50cm,0.5,NSW Gov,Bellinger2024-DEM-AHD-50cm_487404m6621624m_56_0018km_0013km.tif
four_ways_wdr_tm,Four Ways Wdr Tm,-19.2497,140.3673,61.18,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
frank_sleeman_park_al,Frank Sleeman Park AL,-27.3631,153.0564,8.1,1m,1.0,QLD Government,Brisbane_2019_Prj_SW_505000_6973000_1k_DEM_1m.tif
franklyn_vale_al,Franklyn Vale AL,-27.759,152.469,134.7,1m,1.0,QLD Government,Ipswich_2014_LGA_SW_447000_6929000_1K_DEM_1m.tif
fred_haigh_dam_hw_al,Fred Haigh Dam HW AL,-24.8725,151.85,74.5,1m,1.0,QLD Government,Bundaberg_2016_Rgn_SW_383000_7248000_1K_DEM_1m.tif
frederickton,Frederickton,-31.0374,152.881,7.22,1m,1.0,NSW Government,Kempsey201607-LID1-AHD_4886566_56_0002_0002_1m.tif
freeling,Freeling,-34.457,138.806,190.9,50cm,0.5,SA Government,Nuriootpa2021-DEM-GRID-0_5_2986184_54_0001_0001.tif
freestone_ck_at_briagolong,Freestone Ck at Briagolong,-37.813,147.093,88.75,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
frog_hill_repeater,Frog Hill (Repeater),-42.048,147.03,985.88,1m,1.0,TAS Government,CentralHighlands2013-DEM-1m_5025344_55.tif
fulham_al,Fulham AL,-27.077,152.413,87.47,1m,1.0,QLD Government,Toogoolawah_2011_Twn_SW_441000_7004000_1K_DEM_1m.tif
fyans_ck_at_fyans_ck,Fyans Ck at Fyans Ck,-37.109,142.558,208.38,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gaeta_al,Gaeta AL,-24.801,151.604,183.04,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
garbutt_al,Garbutt AL,-19.261,146.784,2.64,1m,1.0,QLD Government,Townsville_2018_Prj_SW_477000_7870000_1.0K_DEM_1m.tif
gatton_al,Gatton AL,-27.556389,152.273056,113.66,1m,1.0,QLD Government,LockyerValley_2015_Prj_SW_428000_6951000_1K_DEM_1m.tif
gatton_lvrc_enviromon_basestation,GATTON LVRC ENVIROMON BASESTATION,-27.5588,152.2762,108.39,1m,1.0,QLD Government,LockyerValley_2015_Prj_SW_428000_6951000_1K_DEM_1m.tif
gawler,Gawler,-34.601,138.736,45.45,50cm,0.5,SA Government,AdelaideMetro2022-DEM-GRID-50cm_2926168_54_0001_0001.tif
gayndah,Gayndah,-25.6283,151.6133,103.46,1m,1.0,QLD Government,Gayndah_2011_Twn_SW_360000_7164000_1K_DEM_1m.tif
gears_wyong_river,Gears (Wyong River),-33.2528,151.316,21.98,1m,1.0,NSW Government,Gosford201409-LID1-AHD_3426318_56_0002_0002_1m.tif
geebung_al,Geebung AL,-27.3839,153.0578,10.15,1m,1.0,QLD Government,Brisbane_2019_Prj_SW_505000_6971000_1k_DEM_1m.tif
george_boyd_lookout,George Boyd Lookout,-35.1749,150.3673,503.21,2m,2.0,NSW Government,Ulladulla201804-LID2-AHD_2606104_56_0002_0002_2m.tif
georges_ck_macle,Georges Ck (Macleay River),-30.7533,152.205,127.88,2m,2.0,NSW Government,Carrai201805-LID2-AHD_4226596_56_0002_0002_2m.tif
gerang_gerung_comparison,Gerang Gerung (Comparison),-36.398,141.879,140.76,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
germanbulyan_ck_bungadoo_al,Bungadoo (Goondoon Rd) AL,-24.9864,152.0748,11.13,1m,1.0,QLD Government,Bundaberg_2016_Rgn_SW_406000_7236000_1K_DEM_1m.tif
ghinghinda_al,Ghinghinda AL,-25.1497,149.7281,307.9,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gibb_river,Gibb River,-16.4203,126.4411,508.13,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gidgegannup,Gidgegannup,-31.791,116.198,305.99,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gilgandra_rosewood,Gilgandra (Rosewood),-31.7042,148.6283,282.1,5m,5.0,NSW Government,Gilgandra201108-PHO3-AHD_6546490_55_0002_0002_5m.tif
giligulgul_tm,Giligulgul TM,-26.3564,150.0464,320.87,50cm,0.5,Griffith Uni,Taroom201810-DEM-GRID-50cm_2057081_56_0001_0001.tif
gillespie_al,Gillespie AL,-24.558,145.787,324.02,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gin_gin_al,Gin Gin AL,-24.996,151.957,97.17,50cm,0.5,Griffith Uni,Bundaberg201801-DEM-GRID-50cm_3947235_56_0001_0001.tif
gin_gin_ck_al,Gin Gin Ck AL,-24.9686,151.8917,63.78,1m,1.0,QLD Government,BundabergCentral_2009_Rgn_SW_388000_7238000_2K_DEM_1m.tif
ginginjibby,Ginginjibby,-24.6132,117.6529,477.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
girralong,Girralong,-30.568,152.652,142.74,2m,2.0,NSW Government,Macksville201707-LID2-AHD_4666618_56_0002_0002_2m.tif
giru_north,Giru North,-19.5144,147.1011,3.85,50cm,0.5,Griffith Uni,Ayr201804-DEM-GRID-50cm_5107842_55_0001_0001.tif
gladstone_radar_al,Gladstone Radar AL,-23.855,151.263,62.46,1m,1.0,QLD Government,Gladstone_2009_Ctl_SW_322000_7360000_2K_DEM_1m.tif
glasshouse_mountains_al,Glasshouse Mountains AL,-26.8994,152.9586,26.79,1m,1.0,QLD Government,SunshineCoast_2014_LGA_SW_495000_7024000_1K_DEM_1m.tif
glen_alice,Glen Alice,-33.05,150.232,317.54,2m,2.0,NSW Government,Wallerawang201704-LID2-AHD_2406338_56_0002_0002_2m.tif
glen_eden_kirkwood_rd_al,Glen Eden (Kirkwood Rd) AL,-23.910076,151.253269,28.34,1m,1.0,QLD Government,Gladstone_2014_Rgn_SW_322000_7354000_1K_DEM_1m.tif
glen_elgin_glenbrook,Glen Elgin (Glenbrook),-29.558,152.139,893.42,1m,1.0,CSIRO and NEMA,ClarenceRiver2023-DEM-AHD-1m_4166729_56_0001_0001.tif
glen_esk_al,Glen Esk AL,-27.221,152.487,77.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glen_innes_ag_research_stn,Glen Innes Ag Research Stn,-29.695,151.694,1065.57,5m,5.0,NSW Government,GlenInnes201712-PHO3-AHD_3726714_56_0002_0002_5m.tif
glen_rock_al,Glen Rock AL,-24.4636,147.5681,629.9,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glencoe_al,Glencoe AL,-23.717,146.173,367.09,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glencoe_rd_al,Glencoe Rd AL,-25.256,150.729,456.53,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glendower_mountain_leconfield,Glendower Mountain (Leconfield),-31.15,151.233,865.04,5m,5.0,NSW Government,Nundle201305-PHO3-AHD_3306552_56_0002_0002_5m.tif
glenelg_oval,Glenelg Oval,-34.983,138.522,5.95,1m,1.0,SA Government,AdelaideMetro2018_DEM_2706125_05_001.tif
glenella_al,Glenella AL,-21.1233,149.147,8.54,1m,1.0,QLD Government,Mackay_2015_Rgn_SW_722000_7662000_1K_DEM_1m.tif
glengarry_al,Glengarry (Repeater) AL,-26.5705,147.0975,495.68,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glengyle,Glengyle,-24.7856,139.5919,86.81,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glenhaughton_rd_aler,Glenhaughton Rd AL,-25.4172,149.5236,338.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gleniffer_never_nev,Gleniffer,-30.3883,152.8817,27.72,1m,1.0,NSW Government,Dorrigo200912-LID1-AHD_4886638_56_0002_0002_1m.tif
glenlee_al,Glenlee AL,-24.0719,147.7628,244.66,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glenmaggie_ck_at_the_gorge,Glenmaggie Ck at the Gorge,-37.9158,146.6553,201.53,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glenmoan_station_tm,Glenmoan Station Tm,-20.815,144.4398,370.33,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
glenoma_park_alert,Glenoma Park AL,-16.8988,145.7083,8.3,1m,1.0,QLD Government,Cairns_2010_Prj_SW_362000_8131000_1K_DEM_1m.tif
glenore_grove_alert,Glenore Grove AL,-27.5231,152.4092,81.23,1m,1.0,QLD Government,LockyerValley_2015_Prj_SW_441000_6955000_1K_DEM_1m.tif
glenreagh_coramba_street,Glenreagh (Coramba Street),-30.05,152.978,69.55,1m,1.0,NSW Government,Dorrigo201607-LID1-AHD_4966674_56_0002_0002_1m.tif
gloucester_post_office,Gloucester Post Office,-32.006,151.96,102.25,1m,1.0,NSW Government,Dungog201801-LID1-AHD_4006458_56_0002_0002_1m.tif
gold_ck_res_al,Gold Ck Res AL,-27.467,152.883,163.86,1m,1.0,QLD Government,Brisbane_2009_LGA_SW_488000_6961000_1K_DEM_1m.tif
golden_beach_al,Golden Beach AL,-26.833,153.119,1.33,1m,1.0,QLD Government,SunshineCoast_2008_LGA_SW_511000_7032000_1K_DEM_1m.tif
golden_grove,Golden Grove,-34.778,138.725,186.28,1m,1.0,SA Government,AdelaideMetro2018_DEM_2906145_05_001.tif
golden_valley_wollondilly_river,Golden Valley (Wollondilly River),-34.554,150.08,625.53,2m,2.0,NSW Government,MossVale201805-LID2-AHD_2326172_56_0002_0002_2m.tif
golspie_ayrston,Golspie (Ayrston),-34.279,149.665,853.72,2m,2.0,NSW Government,Taralga201611-LID2-AHD_7446202_55_0002_0002_2m.tif
gomersal_woodbridge,Gomersal (Woodbridge),-34.538,138.911,218.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
goodna_al,Goodna AL,-27.6,152.894,7.53,1m,1.0,QLD Government,Ipswich_2023_LGA_SW_489000_6947000_1k_DEM_1m.tif
googong_dam_u_s_queanbeayan_river,Googong Dam U/S (Queanbeayan River),-35.524,149.299,732.62,1m,1.0,ACT Government,ACT2015_4ppm_7086066_55_0002_0002_1m.tif
googong_dam_w_l_queanbeyan_river,Googong Dam W/L (Queanbeyan River),-35.433,149.267,650.9,1m,1.0,ACT Government,ACT2020_DEM_7056076_55_01_001.tif
googong_hill,Googong Hill,-35.484,149.236,1015.48,1m,1.0,ACT Government,ACT2020_DEM_7026070_55_01_001.tif
goolman_al,Goolman AL,-27.736,152.767,81.16,1m,1.0,QLD Government,Ipswich_2014_LGA_SW_477000_6932000_1K_DEM_1m.tif
goomboorian_al,Goomboorian AL,-26.064,152.773,97.89,1m,1.0,QLD Government,Gympie_2009_Rgn_SW_477000_7117000_1K_DEM_1m.tif
goombungee_pechey_maclagan_rd_tm,Goombungee (Pechey-Maclagan Rd) TM,-27.307,151.877,550.58,1m,1.0,QLD Government,Toowoomba_2010_Rgn_SW_388000_6979000_1K_DEM_1m.tif
goondiwindi,Goondiwindi,-28.5514,150.3086,217.63,1m,1.0,QLD Government,Goondiwindi_2011_Twn_SW_236000_6838000_1K_DEM_1m.tif
goonengerry,Goonengerry,-28.594,153.417,362.4,1m,1.0,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5406836_56_0001_0001.tif
goonumbla_cordadgery,Goonumbla (Cordadgery),-32.974,148.063,295.73,5m,5.0,NSW Government,PeakHill201204-PHO3-AHD_5986350_55_0002_0002_5m.tif
goorambat,Goorambat,-36.407,145.919,162.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
gooseponds_al,Gooseponds AL,-21.1253,149.1664,6.25,1m,1.0,QLD Government,Mackay_2009_Rgn_SW_724000_7662000_2K_DEM_1m.tif
goovigen_al,Goovigen AL,-24.106,150.287,122.11,50cm,0.5,Griffith Uni,Moura201802-DEM-GRID-50cm_2247331_56_0001_0001.tif
gorge_weir,Gorge Weir,-34.856,138.731,103.15,1m,1.0,SA Government,TeaTreeGully2019_DEM_2926140_01_001.tif
goulburn_mt_gray,Goulburn (Mt Gray),-34.765,149.758,792.08,5m,5.0,NSW Government,Goulburn201312-PHO3-AHD_7526148_55_0002_0002_5m.tif
goulburn_river_at_arcadia_downs,Goulburn River at Arcadia Downs,-36.455,145.378,112.65,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
goulburn_river_at_murchison,Goulburn River at Murchison,-36.617,145.217,125.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
goulburn_river_at_seymour,Goulburn River at Seymour,-37.019,145.11,155.42,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
goulburn_river_at_shepparton,Goulburn River at Shepparton,-36.378,145.419,114.1,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
goulburn_river_d_s_goulburn_weir,Goulburn River D/S Goulburn Weir,-36.713,145.173,126.12,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
granite_road,Granite Road,-37.869,144.303,231.0,1 Second,30.0,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
