ANTENNA_ID,GAIN,FRONT_TO_BACK,H_BEAMWIDTH,V_BEAMWIDTH,BAND_MIN_FREQ,BAND_MIN_FREQ_UNIT,BAND_MAX_FREQ,BAND_MAX_FREQ_UNIT,ANTENNA_SIZE,ANTENNA_TYPE,MODEL,MANUFACTURER
90838,39.6,65,1.8,,,MHz,,MHz,,Parabolic,ANT2 1.8 6 HPX,ERICSSON
90855,38.4,64,2,,,MHz,,MHz,,Parabolic,ANT2 0.9 10/11 HPX,ERICSSON
90858,40.7,66,1.6,,,MHz,,MHz,,Parabolic,ANT2 1.2 10/11 HPX,ERICSSON
91062,37.4,63,2.2,,,MHz,,MHz,,Parabolic,VHLP4-7W/E,ANDREW AUSTRALIA
91102,17.9,34,39,,,MHz,,MHz,,Panel (Multi-sector),2UPX210B-T2 (700),COMMSCOPE
91103,18.7,40,36,,,MHz,,MHz,,Panel (Multi-sector),2UPX210B-T2 (850),COMMSCOPE
91401,50,66.7,0.5,,,MHz,,MHz,,Parabolic,EH-ANT-2ft,SIklu
91505,31.8,57,4,,,MHz,,MHz,,Parabolic,HAE1303,LEAX AKRIVATOR TELECOM
91522,33.5,60,3.7,,,MHz,,MHz,,Parabolic,HAE0609,LEAX AKRIVATOR TELECOM
91548,17.6,27,37,,,MHz,,MHz,,Panel (1 sector),TDJ-708019D (700),TONGYU
91722,5.2,0,0,,,MHz,,MHz,,Parallel array of vertical dipoles,BA4040-41,RF INDUSTRIES
91732,34.6,63,3.2,,,MHz,,MHz,,Parabolic,VHLP1-18/F,ANDREW AUSTRALIA
91739,37.5,63,2,,,MHz,,MHz,,Parabolic,HAE0812,LEAX AKRIVATOR TELECOM
91767,35.5,62,3,,,MHz,,MHz,,Parabolic,HAE0809_00,LEAX AKRIVATOR TELECOM
92,15.7,16,35,,,MHz,,MHz,0,Yagi (Horizontal Polarisation)-Y,546-2(H),AEA
92183,43,55,0.9,,,MHz,,MHz,,Parabolic,EH-ANT-1ft,Siklu
92216,23.7,30,110,,,MHz,,MHz,,Cellular,AIR 6468 B42 (Traffic),Ericsson
92222,39.3,66,1.8,,,MHz,,MHz,,Parabolic,ANT3 A 1.8 6 HPX,ERICSSON
92223,20,25,30,,,MHz,,MHz,,Panel(1sector),T1002M3R011_2500MHz_0dB,Tongyu
92224,18.6,25,38,,,MHz,,MHz,,Panel(1sector),T1002M3R011_700MHz_0dB,Tongyu
92237,17.6,27,37,,,MHz,,MHz,,Panel (1 sector),T1000L3R011 (700),TONGYU
92238,18.8,27,33,,,MHz,,MHz,,Panel (1 sector),T1000L3R011 (850),TONGYU
92253,3.85,0,360,,,MHz,,MHz,,Ground independent mobile antenna (148-174 MHz),CD29-148174,RF Industries
92264,19,24,28,,,MHz,,MHz,,Yagi,YBA-2H-818-8085,RFI
92343,34.5,61,3.3,,,MHz,,MHz,,Parabolic,ANT3 A 0.6 10/11 HPX,Ericsson
92389,16.8,26,62,,,MHz,,MHz,,Panel(1 sector),T2004L6R021(0.9),Tongyu
92391,17,26,62,,,MHz,,MHz,,Panel(1 sector),T2004L6R021(2.1),Tongyu
92450,38.9,67,2.1,,,MHz,,MHz,,Parabolic,W1-SLU0618DS,Wave1
92630,38.8,76,1.8,,,MHz,,MHz,,Parabolic Ultra High Performance,USX6-6W,Andrew
92679,18.5,25,36,,,MHz,,MHz,,Panel(1sector),T1002M3R011_1800MHz,Tongyu
92693,16.3,26,69,,,MHz,,MHz,,"Panel (single sector dual slant, 694-790 MHz)",RVVPX310.11B-T2 (694-790 MHz),CommScope
92694,16.7,26,67,,,MHz,,MHz,,"Panel (single sector dual slant, 790-890 MHz)",RVVPX310.11B-T2 (790-890 MHz),CommScope
92696,17.5,27,62,,,MHz,,MHz,,"Panel (single sector dual slant, 1695-1880 MHz)",RVVPX310.11B-T2 (1695-1880 MHz),CommScope
