LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
12829966/1,514483,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-01,2025-12-01,2026-12-13,1,Granted,12829981,1130096_CW103C,,,
12829968/1,514483,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-01,2025-12-01,2026-12-13,1,Granted,12829983,1130096_CW103D,,,
12829970/1,514483,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-12-01,2025-12-01,2026-12-13,1,Granted,12829984,1130096_CW103E,,,
12833330/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-06-04,2025-06-04,2026-10-10,1,Granted,12833599,20016317_JSMFAC14764,,,
12833332/2,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-16,2026-08-16,2027-08-31,1,Granted,13027116,20016317_JSMFAC16337,,,
12833333/1,1401916,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-08-24,2026-08-24,2027-09-30,1,Granted,12833601,20016317_JSMFAC14765,,,
12835538/1,20017363,2,203,Fixed,Point to Point,2026-05-03,2026-05-03,2027-06-11,1,Granted,12835613,20029601_APP_OP-00541,,,
12837108/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-06-16,2025-06-16,2026-10-10,1,Granted,12837328,20016317_JSMFAC14812,,,
12842181/1,573690,1,104,Broadcasting,Narrowband Area Service station(s),2026-06-30,2026-06-30,2027-07-11,1,Granted,12842791,20011258_KCM33,,,
12847164/1,1149151,2,203,Fixed,Point to Point,2025-08-04,2026-02-28,2027-05-31,1,Granted,12847687,20006728_QLD_Rail_ptpt_L6GHz_020725,,,
12847165/1,1149151,2,203,Fixed,Point to Point,2025-08-04,2026-02-28,2027-05-31,1,Granted,12847688,20006728_QLD_Rail_ptpt_L6GHz_020725,,,
12847166/1,1149151,2,203,Fixed,Point to Point,2025-08-04,2026-02-28,2027-05-31,1,Granted,12847689,20006728_QLD_Rail_ptpt_L6GHz_020725,,,
12847167/1,1149151,2,203,Fixed,Point to Point,2025-08-04,2026-02-28,2027-05-31,1,Granted,12847690,20006728_QLD_Rail_ptpt_L6GHz_020725,,,
12853795/1,71389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-18,2026-06-18,2027-06-27,1,Granted,12853929,1130096_RD636A,,,
12853798/1,71389,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-18,2026-06-18,2027-06-27,1,Granted,12853932,1130096_RD636B,,,
12859660/1,1140096,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-15,2026-07-15,2027-07-14,1,Granted,12859751,1130096_SC1263A,,,
12859661/1,1140096,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-15,2026-07-15,2027-07-14,1,Granted,12859752,1130096_SC1263B,,,
128607/1,1142834,2,203,Fixed,Point to Point,2025-09-12,2025-09-12,2026-10-19,1,Granted,9675774,,,,
12861629/1,58050,2,203,Fixed,Point to Point,2026-04-20,2026-04-20,2027-05-04,1,Granted,12861678,20016317_JSMFAC15042,,,
128621/1,1142834,2,203,Fixed,Point to Point,2025-09-12,2025-09-12,2026-10-19,1,Granted,9675780,,,,
128623/1,1142834,2,203,Fixed,Point to Point,2025-09-12,2025-09-12,2026-10-19,1,Granted,9675782,,,,
12863066/1,20064596,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-02,2025-09-02,2026-09-01,10,Expired,12863274,20025735_250322_resub,,,
12875521/1,20017363,2,203,Fixed,Point to Point,2026-07-26,2026-07-26,2027-09-02,1,Granted,12875858,20029601_APP_OP-00621-00622-00623-48757,,,
12875522/1,20017363,2,203,Fixed,Point to Point,2026-07-26,2026-07-26,2027-09-02,1,Granted,12875835,20029601_APP_OP-00621-00622-00623-48757,,,
12875523/1,20017363,2,203,Fixed,Point to Point,2026-07-26,2026-07-26,2027-09-02,1,Granted,12875836,20029601_APP_OP-00621-00622-00623-48757,,,
12875524/1,20017363,2,203,Fixed,Point to Point,2026-07-26,2026-07-26,2027-09-02,1,Granted,12875837,20029601_APP_OP-00621-00622-00623-48757,,,
12877170/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,12877217,20056206_App_Sub_014071,,,
12877171/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,12877218,20056206_App_Sub_014071,,,
12877175/1,435100,2,200,Fixed,Point to Multipoint,2025-09-05,2025-09-05,2026-09-23,1,Granted,12877224,20040387_M360_04092025_BOM5_1,,,
