CLIENT_NO,LICENCEE,TRADING_NAME,ACN,ABN,POSTAL_STREET,POSTAL_SUBURB,POSTAL_STATE,POSTAL_POSTCODE,CAT_ID,CLIENT_TYPE_ID,FEE_STATUS_ID
15363,Goodcom Communications Pty Ltd,Goodcom Communications Pty Ltd,096937852,98096937852,PO Box 190,WALCHA,NSW,2354,8,5,1
15625,Clarence Valley Council,Clarence Valley Council,,85864095684,Locked Bag 23,GRAFTON,NSW,2460,10,4,1
15671,J Graham,PF Formation Pty Ltd,,,1774 Wiseman's Ferry Road,MAROOTA,NSW,2756,15,7,1
17375,Port Macquarie Hastings Council,Port Macquarie Hastings Council,,11236901601,PO Box 84,PORT MACQUARIE,NSW,2444,10,4,1
17444,Hawkesbury City Council,Hawkesbury City Council,,54659038834,PO Box 146,WINDSOR,NSW,2756,15,4,1
17661,Ambulance Service of NSW,Ambulance Service of NSW,,69291930156,Service Manager Telecommunications Matt Wheat Locked Bag 105,ROZELLE,NSW,2039,12,3,1
19186,Hubbard HC & LG,Hubbard HC & LG,,,South Wandobah,SPRING RIDGE,NSW,2343,15,6,1
21298,Karera Pty. Limited,Karera Pty. Limited,002805450,70002805450,Units 2/49 Gavenlock Road,TUGGERAH,NSW,2259,15,5,1
21612,KEMPSEY SHIRE COUNCIL,Kempsey Shire Council,,70705618663,PO Box 78,WEST KEMPSEY,NSW,2440,10,4,1
22452,KU-RING-GAI COUNCIL,KU-RING-GAI COUNCIL,,86408856411,Attn: Matthew Drago Locked Bag 1006,GORDON,NSW,2072,10,4,1
23720,Lismore City Council,Lismore City Council,,60080932837,PO Box 23a,LISMORE,NSW,2480,10,4,1
24532,NORTHERN NSW LOCAL HEALTH DISTRICT,Maclean Hospital,,67284856520,PO Box 93,MACLEAN,NSW,2463,12,3,1
30022,ORANGE CITY COUNCIL,ORANGE CITY COUNCIL,,85985402386,PO Box 35,ORANGE,NSW,2800,15,4,1
30588,Western Sydney Local Health District,HIRPN Networks,,48702394764,Switchboard Westmead Hospital PO Box 533,WENTWORTHVILLE,NSW,2145,12,3,1
31224,Killara Feedlot  Pty Ltd,Killara Feedlot  Pty Ltd,081072746,18081072746,PO Box 348,QUIRINDI,NSW,2343,15,5,1
31823,NSW Police Force,Radio Engineering Services,,43408613180,"Level 4  151-241 Goulburn St Sydney Police Centre,",SURRY HILLS,NSW,2010,10,3,1
32296,Endeavour Energy,Endeavour Energy,,59253130878,PO Box 6366 (C Brown 4900000159),BLACKTOWN DC,NSW,2148,4,3,1
34383,ROUS COUNTY COUNCIL,ROUS WATER,,81383023771,PO Box 230,LISMORE,NSW,2480,10,4,1
36185,SHOALHAVEN CITY COUNCIL,SHOALHAVEN CITY COUNCIL,,59855182344,PO Box 42,NOWRA,NSW,2541,10,4,1
36276,Peter Richardson,Sidney and Richardson,,47320309762,67 Bentinck Street,BALLINA,NSW,2478,14,7,1
36668,Surf Life Saving New South Wales Inc,Surf Life Saving New South Wales Inc,,93827748379,PO Box 307,BELROSE,NSW,2085,15,6,3
37658,ST JOHN AMBULANCE AUSTRALIA (N.S.W.),St John Ambulance Australia Nsw,001738370,84001738370,12 Lyonpark,Macquarie Park,NSW,2113,15,6,3
37678,ST. VINCENT'S HOSPITAL SYDNEY LIMITED,St Vincents Hospital Sydney Limited,054038872,77054038872,390 Victoria Street,DARLINGHURST,NSW,2010,12,5,1
38171,SOUTH SYDNEY JUNIOR RUGBY LEAGUE CLUB LTD,Juniors Malabar,000213374,58000213374,558a Anzac Parade,KINGSFORD,NSW,2032,15,5,1
38847,ADVENTIST HEALTHCARE LIMITED,SYDNEY ADVENTIST HOSPITAL,096452925,76096452925,Information Systems Department 185 Fox Valley Road,WAHROONGA,NSW,2076,15,5,1
38986,HUNTER NEW ENGLAND LOCAL HEALTH DISTRICT,Attn Stewart Symons,,63598010203,PO Box 363,GLEN INNES,NSW,2370,12,3,1
39085,Taxi Cabs of Bathurst Co-op Society Ltd,Taxi Cabs of Bathurst Co-op Society Ltd,,96636218423,PO Box 256,BATHURST,NSW,2795,7,6,1
40850,University of Wollongong,University of Wollongong,,61060567686,The University of Wollongong Building 31 Northfields Ave,UNIVERSITY OF WOLLONGONG,NSW,2522,11,6,1
41389,VRA RESCUE NSW LIMITED,VRA ICT Committee,,68767393968,PO Box 6151,DURAL DC,NSW,2158,15,6,3
43135,CANBERRA REGION AMATEUR RADIO CLUB INCORPORATED,Wicen ACT,,49165386789,Mailbox 2-06 20 Genge Street,CANBERRA,ACT,2600,14,6,3
44179,Woollahra Municipal Council,Woollahra Municipal Council,,32218483245,PO Box 61,DOUBLE BAY,NSW,1360,15,4,1
44894,DR McPherson,Airmac Electronic Services,,,PO Box 64,KOTARA FAIR,NSW,2289,15,7,1
45446,Tamworth Regional Council,Tamworth Regional Council,,52631074450,PO Box 555,TAMWORTH,NSW,2340,15,4,1
46260,Crest NSW Inc,Crest NSW Inc Nominee D Cottle,,87954272993,2 Tamworth Place,ALLAMBIE HEIGHTS,NSW,2100,15,6,3
46975,Department of Defence,Director Defence Spectrum Office,,68706814312,"D DSO APW-02-054, Anzac Park West PO Box 7953",CANBERRA BC,ACT,2610,15,1,1
48068,Abbot Point Bulkcoal Pty. Ltd.,Abbot Point Bulk Coal Pty Ltd,010183534,23010183534,PO Box 207,BOWEN,QLD,4805,2,5,1
48609,AMPOL REFINERIES (QLD) PTY LTD,CALTEX REFINERIES (QLD) PTY LTD,008425581,46008425581,PO Box 40,Wynnum,QLD,4178,2,5,1
48814,SEA SWIFT PTY. LTD.,SEA SWIFT PTY. LTD.,010889040,16010889040,PO Box 6755,CAIRNS,QLD,4870,1,5,1
