LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
10080488/1,1401916,2,203,Fixed,Point to Point,2025-08-21,2025-08-21,2026-09-30,1,Granted,10081019,20011258_QES373_2,,,
10084716/1,83314,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-21,2025-08-21,2026-09-30,1,Granted,10085514,20016317_JSMFAC1056,,,
10084717/1,83314,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-21,2025-08-21,2026-09-30,1,Granted,10085515,20016317_JSMFAC1056,,,
10086833/1,270141,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-21,2026-05-21,2027-06-30,1,Granted,10087298,20011258_QES421_2,,,
10089766/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10089840,20011258_QES422_1,,,
10089767/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10089841,20011258_QES422_2,,,
10089768/2,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,12441503,20016317_JSMFAC13042,,,
10089770/2,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,12441502,20016317_JSMFAC13042,,,
10089771/2,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10379164,20016317_JSMFAC3028,,,
10090315/2,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10643856,20011258_QES424_2,,,
10090946/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10091147,1131121_002436,,,
10091922/5,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,11963712,1131121_App_Sub_010068,,,
10093184/1,1150019,1,108,Broadcasting,Commercial Radio,2017-05-17,2022-01-17,2027-03-07,1,Granted,10118115,,,1150778,
10094267/240,512112,10,125,PTS,PMTS Class B,2026-07-22,2026-07-22,2026-09-26,1,Granted,13078297,20040387_M360_Optus_10094267_APLADD2100_260722_1033,,,
10094268/292,512112,10,125,PTS,PMTS Class B,2026-07-22,2026-07-22,2026-09-26,1,Granted,13077963,1139435_VentiaPTSSubmission_20260721_1,,,
10094271/216,512112,10,125,PTS,PMTS Class B,2026-07-22,2026-07-22,2026-09-26,1,Granted,13077964,1139435_VentiaPTSSubmission_20260721_2,,,
10094272/200,512112,10,125,PTS,PMTS Class B,2026-07-16,2026-07-16,2026-09-26,1,Granted,13075590,1139435_VentiaPTSSubmission_20260715_3,,,
10094272/201,512112,10,125,PTS,PMTS Class B,,2026-07-16,2026-09-26,0,Not Granted,13078814,1141877_Digicomm-PTS2100_230726-1,,,
10099877/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10100101,20016317_JSMFAC1191,,,
10100434/2,1143708,1,105,Broadcasting,Narrowcasting Service (LPON),2025-09-24,2025-09-24,2026-09-21,1,Granted,10235737,,,,
10104347/1,20053835,2,203,Fixed,Point to Point,2026-04-11,2026-04-11,2028-05-19,1,Granted,10104871,1148302_002626,,,
10109338/1,59938,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-25,2025-09-25,2026-09-22,1,Granted,10109571,1143026_MSQ03,,,
10110246/2,34383,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-08,2026-05-08,2027-06-14,1,Granted,12066704,1148302_App_Sub_010787,,,
10111124/2,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10506172,1143026_QES444_2-3,,,
10111163/2,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10506170,1143026_QES444_3-3,,,
10112915/1,85149,2,203,Fixed,Point to Point,2026-01-27,2026-01-27,2027-02-01,1,Granted,10113863,1148302_002723,,,
10112916/1,85149,2,203,Fixed,Point to Point,2026-01-27,2026-01-27,2027-02-01,1,Granted,10116841,1148302_002723,,,
10118080/1,5832,3,307,Land Mobile,Paging System - Exterior,2025-09-01,2025-09-01,2026-10-11,1,Granted,10118103,,,,
10118995/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119753,1148302_002770,,,
10118996/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119754,1148302_002770,,,
10118997/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119755,1148302_002770,,,
10118998/1,85149,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-02-01,1,Granted,10119756,1148302_002770,,,
10119212/1,84379,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-03,2025-09-03,2026-08-31,1,Granted,10119772,20011258_QES455_2,,,
10123604/1,88239,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-11-03,2025-11-03,2026-10-20,1,Granted,10123694,20011258_BMS97,,,
10124186/1,20029121,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-17,2025-10-17,2026-10-23,1,Granted,10125127,1103264_DB0760,,,
10132209/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10132768,20011258_QES448_1,,,
10132210/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10132769,20011258_QES448_2,,,
10132211/1,84379,2,203,Fixed,Point to Point,2025-09-03,2025-09-03,2026-08-31,1,Granted,10132770,20011258_QES448_3,,,
10137110/1,521072,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10137245,1143026_QES459,,,
10143110,1136980,85,854,Spectrum,2 GHz Band,2021-06-29,2017-10-12,2032-10-11,1,Granted,,,,,
10143128/1,1147378,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-01,2026-05-01,2027-05-23,1,Granted,10143157,20011258_NOR16_1,,,
10143129/1,1147378,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-05-01,2026-05-01,2027-05-23,1,Granted,10143158,20011258_NOR16_2,,,
10143136,1103274,85,854,Spectrum,2 GHz Band,2017-07-04,2017-10-12,2032-10-11,1,Granted,,,,,
10143466,1104504,85,854,Spectrum,2 GHz Band,2024-08-22,2017-10-12,2032-10-11,1,Granted,,,,,
10143562,1103276,85,854,Spectrum,2 GHz Band,2024-08-22,2017-10-12,2032-10-11,1,Granted,,,,,
10156596/3,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11985241,1139435_P2PSubmission_20230314_9,,,
10156597/4,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,11995919,1139435_P2PSubmission_20230329_1,,,
10158198/1,1420699,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-30,2025-10-30,2026-12-08,1,Granted,10158774,20011258_GC953_1,,,
10158199/1,1420699,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-30,2025-10-30,2026-12-08,1,Granted,10158775,20011258_GC953_2,,,
10158201/1,1420699,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-10-30,2025-10-30,2026-12-08,1,Granted,10158776,20011258_GC953_3,,,
10160190/1,1144435,2,200,Fixed,Point to Multipoint,2026-03-19,2026-03-19,2027-03-17,1,Granted,10164931,20011258_SEQ03_6,,,
10160191/1,1144435,2,200,Fixed,Point to Multipoint,2026-03-19,2026-03-19,2027-03-17,1,Granted,10166462,20011258_SEQ03_7,,,
10165274/1,521072,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10167489,20011258_QES478_1,,,
10165275/1,521072,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10167482,20011258_QES478_2,,,
10167521/1,401054,2,203,Fixed,Point to Point,2026-06-19,2026-06-19,2027-06-30,1,Granted,10168022,1148302_003377,,,
10167522/1,401054,2,203,Fixed,Point to Point,2026-06-19,2026-06-19,2027-06-30,1,Granted,10168023,1148302_003377,,,
10169205/1,20012320,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-09,2026-06-09,2027-07-07,1,Granted,10169257,1130095_003411,,,
10169206/1,20012320,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-06-09,2026-06-09,2027-07-07,1,Granted,10169258,1130095_003412,,,
10171265/1,1424239,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-09-09,2025-09-09,2026-09-09,1,Granted,10171616,1130096_QC142,,,
10172447/7,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308212,20056206_App_Sub_012121,,,
10172448/6,8129031,2,203,Fixed,Point to Point,2026-04-22,2026-04-22,2027-05-31,1,Granted,12308213,20056206_App_Sub_012121,,,
10172502/1,20003242,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-01-27,2026-01-27,2027-01-18,1,Granted,10172570,20011258_GC990,,,
10175526/1,36185,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-04,2026-03-04,2027-01-30,1,Granted,10175926,20011258_SCC24_1,,,
10175527/1,36185,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-04,2026-03-04,2027-01-30,1,Granted,10175927,20011258_SCC24_2,,,
10176807/3,32296,2,200,Fixed,Point to Multipoint,2026-03-30,2026-03-30,2027-05-08,1,Granted,10266997,1148302_003533,,,
10176808/3,32296,2,200,Fixed,Point to Multipoint,2026-03-30,2026-03-30,2027-05-08,1,Granted,10266998,1148302_003533,,,
10179487/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180040,1148302_003538,,,
10179491/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180044,1148302_003537,,,
10179492/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180045,1148302_003537,,,
10179493/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180046,1148302_003537,,,
10179494/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180047,1148302_003537,,,
10179495/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180048,1148302_003537,,,
10179496/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180049,1148302_003537,,,
10179498/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10180051,1148302_003537,,,
10180573/1,31823,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-14,2026-07-14,2027-07-01,1,Granted,10181251,1148302_003551,,,
10181470/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594670,20038343_LMS_RCS334_vary_1,,,
10181471/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594671,20038343_LMS_RCS334_vary_2,,,
10181472/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594672,20038343_LMS_RCS334_vary_3,,,
10181473/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594673,20038343_LMS_RCS334_vary_4,,,
10181474/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594674,20038343_LMS_RCS334_vary_5,,,
10181475/3,1144284,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-09,2026-02-09,2027-02-24,1,Granted,10594675,20038343_LMS_RCS334_vary_6,,,
10181829/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10182549,20016317_JSMFAC1616,,,
10181830/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10182550,20016317_JSMFAC1616,,,
10182194/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182658,1148302_003579,,,
10182195/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182659,1148302_003579,,,
10182196/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182660,1148302_003579,,,
10182197/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10182661,1148302_003579,,,
10183402/2,79601,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10390707,20016317_JSMFAC3079,,,
10183404/2,79601,2,203,Fixed,Point to Point,2025-08-29,2025-08-29,2026-09-30,1,Granted,10230669,20016317_JSMFAC2062,,,
10192296/1,20017373,2,203,Fixed,Point to Point,2026-01-14,2026-01-14,2027-02-22,1,Granted,10193701,20019387_B8969-B0098_20170221_n1,,,
10195042/1,52399,3,303,Land Mobile,CBRS Repeater,2025-10-03,2025-10-03,2026-10-16,1,Granted,10196373,1130096_SC716A,,,
10195047/1,52399,2,203,Fixed,Point to Point,2025-10-03,2025-10-03,2026-10-16,1,Granted,10196377,1130096_SC716C,,,
10195639/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196460,20016317_JSMFAC1741,,,
10195640/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196461,20016317_JSMFAC1742,,,
10195641/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196462,20016317_JSMFAC1743,,,
10195642/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10196463,20016317_JSMFAC1744,,,
10195643/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196464,20016317_JSMFAC1745,,,
10195649/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196470,20016317_JSMFAC1751,,,
10195650/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196471,20016317_JSMFAC1752,,,
10195651/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12287385,20016317_JSMFAC12410,,,
10195652/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12287386,20016317_JSMFAC12410,,,
10195653/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196474,20016317_JSMFAC1755,,,
10195654/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10196475,20016317_JSMFAC1756,,,
10196943/1,20017373,2,203,Fixed,Point to Point,2026-01-28,2026-01-28,2027-03-08,1,Granted,10199786,20019387_B0871-B0524_20170307_n1,,,
10197040/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10199816,1148302_003706,,,
10197043/1,435100,2,200,Fixed,Point to Multipoint,2025-09-12,2025-09-12,2026-09-23,1,Granted,10199819,1148302_003706,,,
10200444/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203474,20016317_JSMFAC1793,,,
10200458/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203494,20016317_JSMFAC1793,,,
10200466/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203502,20016317_JSMFAC1793,,,
10200468/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203504,20016317_JSMFAC1793,,,
10200523/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203577,20016317_JSMFAC1797,,,
10200530/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203588,20016317_JSMFAC1797,,,
10200542/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203636,20016317_JSMFAC1797,,,
10200550/1,20060946,3,304,Land Mobile,Land Mobile System - > 30MHz,2025-08-31,2025-08-31,2026-10-10,1,Granted,10203644,20016317_JSMFAC1797,,,
10200557/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203651,20016317_JSMFAC1804,,,
10200558/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203652,20016317_JSMFAC1804,,,
10200560/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203654,20016317_JSMFAC1804,,,
10200582/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203678,20016317_JSMFAC1806,,,
10200598/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203719,20016317_JSMFAC1805,,,
10200602/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203724,20016317_JSMFAC1805,,,
10200604/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203726,20016317_JSMFAC1805,,,
10200605/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203727,20016317_JSMFAC1805,,,
10200613/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203735,20016317_JSMFAC1805,,,
10200614/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203736,20016317_JSMFAC1805,,,
10200634/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203757,20016317_JSMFAC1809,,,
10200645/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,12763570,20016317_JSMFAC13992,,,
10200678/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10203868,20016317_JSMFAC1808,,,
10201014/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10204386,20016317_JSMFAC1813,,,
10201064/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10204468,20016317_JSMFAC1812,,,
102046/1,48068,5,501,Maritime Coast,Limited Coast Assigned System,2025-09-05,2025-09-05,2026-09-13,1,Granted,9808631,,,,
10204723/1,31823,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-07-14,2026-07-14,2027-07-01,1,Granted,10205036,1131121_003743,,,
10204749/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205046,20016317_JSMFAC1850,,,
10204765/2,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10436339,20016317_JSMFAC3495,,,
10204769/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205183,20016317_JSMFAC1847,,,
10204786/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205200,20016317_JSMFAC1847,,,
10204811/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205245,20016317_JSMFAC1851,,,
10204812/1,58050,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-20,2026-04-20,2027-05-04,1,Granted,10205246,20016317_JSMFAC1851,,,
10208914/1,20010642,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-03,2026-03-03,2027-03-28,1,Granted,10209539,1130096_JC114,,,
10211580/1,20003242,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-26,2026-02-26,2027-03-30,1,Granted,10211778,20011258_GD50_1,,,
10211590/1,20003242,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-02-26,2026-02-26,2027-03-30,1,Granted,10211779,20011258_GD50_2,,,
