AREA_CODE,AREA_NAME
541,SHEPPARTON RA1
542,SYDNEY RA1
544,TORRES STRAIT RA1
545,TOWNSVILLE RA1
546,WAGIN RA1
547,WOLLONGONG RA1
548,YORK RA1
623,BALGO TV1
624,BEAGLE BAY TV1
625,DJARINDJIN TV1
626,JIGALONG TV1
627,KALUMBURU TV1
628,KIWIRRKURRA TV1
629,LAGRANGE TV1
630,LOOMA TV1
631,OOMBULGURRI TV1
632,TJUKURLA TV1
633,WARMUN TV1
634,WINGELLINA TV1
635,YANDEEARRA TV1
636,YUNGNGORA TV1
641,WESTERN ZONE TV1
644,OMEO RA1
647,MT BEAUTY RA1
653,BOWEN RA1
654,MANSFIELD RA1
657,DENILIQUIN RA2
658,WANGARATTA RA2
662,MACKAY RA2
663,TOWNSVILLE RA3
668,ECHUCA RA1
669,BENDIGO RA3
670,KYNETON RA1
671,SWAN HILL RA2
672,BARHAM RA1
673,MILDURA RA3
674,YARRA VALLEY RA1
678,YEPPOON RA1
683,HERVEY BAY RA1
684,GRAFTON RA2
685,KEMPSEY RA2
686,NAMBUCCA HEADS RA1
687,PORT MACQUARIE RA1
690,PALM ISLAND RA1
691,TOOWOOMBA/WARWICK RA1
694,PORT STEPHENS RA1
695,LAKE MACQUARIE RA1
696,MUSWELLBROOK RA2
698,CHERBOURG RA1
699,DALBY RA1
700,WONDAI RA1
701,WARWICK RA2
702,LITHGOW RA2
704,MUDGEE RA2
705,KANDOS RA1
706,GAYNDAH RA1
707,MOREE RA2
708,INVERELL RA2
709,MAREEBA RA1
710,KATOOMBA RA2
711,GUNNEDAH RA2
713,NAMBOUR RA2
714,NOOSA RA1
715,GYMPIE RA2
716,NARRABRI RA1
718,DEEPWATER RA1
720,DUBBO RA2
721,YASS RA1
722,COOMA RA2
724,PENRITH RA1
725,BLACKTOWN RA1
726,HORNSBY RA1
729,MALLACOOTA RA1
731,BEGA RA2
733,QUEANBEYAN RA1
736,ULLADULLA RA1
737,BEAUDESERT RA1
739,SUTHERLAND RA1
742,MOUNTAIN DISTRICTS RA1
743,MELBOURNE SOUTH RA1
746,CAMBERWELL RA1
747,WERRIBEE RA1
753,CAMPBELLTOWN RA1
766,MOUNT ISA RA2
767,BOURKE RA2
768,NHULUNBUY RA1
769,BORROLOOLA RA1
778,ADELAIDE SW RA1
779,COLLIE RA1
780,MARGARET RIVER RA1
781,LIGHTNING RIDGE RA1
783,GRIFFITH RA2
784,MILLICENT RA1
789,BATHURST RA3
790,KALAMUNDA RA1
791,ARMADALE RA1
793,TAREE RA3
794,CESSNOCK/MAITLAND RA1
797,COCOS ISLANDS RA1
798,PORT HEDLAND RA2
800,CHRISTMAS ISLAND RA1
801,REMOTE AND REGIONAL WESTERN AUSTRALIA TV1
802,AUSTRALIA WIDE S40
810,VICTOR HARBOR RA1
811,ALBANY S40
812,KALGOORLIE S40
817,COLAC RA1
823,WOLLONGONG RA2
827,TUGGERANONG RA1
829,MELBOURNE NORTH WEST RA1
830,SUNBURY RA1
832,BACCHUS MARSH RA1
834,MELBOURNE CITY RA1
866,WAVERLEY VIC RA1
867,WYNNUM RA1
868,REDCLIFFE RA1
869,ALEXANDRA/EILDON RA1
870,COOBER PEDY RA1
871,NIMBIN RA1
912,MELTON RA1
918,MORANBAH RA1
921,COWRA RA1
926,MURWILLUMBAH RA2
927,QUEENSLAND S40
931,CASINO RA1
932,CORAKI RA1
933,BYRON BAY RA1
938,TASMAN PENINSULA RA1
944,BLACKWATER RA1
945,YORKE PENINSULA RA1
962,DARWIN TV1
963,REMOTE CENTRAL & EASTERN AUSTRALIA TV1
964,REMOTE CENTRAL & EASTERN AUSTRALIA TV2
973,PORT ADELAIDE RA1
985,BAROSSA VALLEY RA1
987,ADELAIDE FOOTHILLS RA1
