Title,Station Number,Lat,Long,Basin,LGA Name,Location Types
Upper Goomburra,541193,-28.0288,152.1891,Condamine-Culgoa Rivers,Southern Downs Regional,Rain Gauge
Jinghi Jinghi Alert,541194,-26.6941,151.077,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Kingsthorpe (East St) Tm,541195,-27.4792,151.8179,Condamine-Culgoa Rivers,Toowoomba Regional,Rain Gauge / Water Level
Blaxland Al,541196,-27.1892,151.3378,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Ranges Bridge Al,541197,-27.1215,151.0919,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Macalister Bell Rd Jimbour Ck AL,541203,-26.95943,151.21742,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Niagara Rd Jandowae Ck AL,541204,-26.7139,151.2752,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Tara Lagoon AL,541205,-27.27424211,150.4639146,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Thallon Bridge,542009,-28.6328,148.8564,Moonie River,Balonne Shire,Water Level
Durah Homestead Al,542010,-26.2839,150.9664,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Upper Durah Creek Al,542011,-26.1708,150.9122,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Canaan Creek Al,542012,-26.3956,150.6767,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Upper Stockyard Creek Al,542013,-26.2514,150.7272,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Turkey Mountain Al,542014,-26.3456,150.87,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Repeater
Myall Park Road Alert,542016,-26.5667,150.2353,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Pinelands Alert,542017,-26.4342,150.0756,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Upper Dogwood Creek Alert,542018,-26.2033,150.2567,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Condamine Alert,542019,-26.9267,150.1314,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Bedarra Alert,542020,-26.8417,150.3442,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Stillers Road Alert,542021,-26.3642,150.2161,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Barakula Forest Station Alert,542022,-26.4272,150.5044,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Miles Alert,542023,-26.6581,150.1808,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Glenaubyn Alert,542024,-26.5083,149.9483,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Boortkoi Alert,542025,-26.5264,150.3953,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge
Clovelly Alert,542026,-26.4764,150.0764,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Repeater
Bottle Tree Alert,542027,-26.8,150.4322,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Repeater
Mt Driven Tm,542035,-27.9811,149.0973,Moonie River,Balonne Shire,Rain Gauge / Water Level
Greenswamp Rd Charleys Ck AL,542036,-26.77306,150.54418,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Roma Condamine Road AL,542037,-26.89930751,149.8278811,Condamine-Culgoa Rivers,Western Downs Regional,Rain Gauge / Water Level
Roma Tm,543010,-26.5711,148.795,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge / Water Level
Homebush Station Tm,543011,-26.393,147.9415,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge / Water Level
Holmleigh Tm,543014,-26.2999,147.9809,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge
Upper Amby Ck Tm,543015,-26.4074,148.2638,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge / Water Level
Begonia Tm,543024,-27.4937,148.3356,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge / Water Level
Mooga Creek Tm,543026,-26.4132,148.8009,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge
Charleville(Bradleys Gully),544020,-26.4031,146.2383,Warrego River,Murweh Shire,Water Level
Lower Bradleys Alert,544027,-26.3736,146.3397,Warrego River,Murweh Shire,Rain Gauge / Water Level
Raceview Alert,544028,-26.4083,146.4042,Warrego River,Murweh Shire,Rain Gauge / Water Level
Middle Creek Alert,544032,-26.3242,146.4383,Warrego River,Murweh Shire,Rain Gauge / Repeater
Tyrconnel Tm,544035,-26.299,147.5501,Condamine-Culgoa Rivers,Maranoa Regional,Rain Gauge
